단어,품사,풀이,등급
가게,명,,A
가격,명,價格,B
가구,명,家口,C
가구,명,家具,B
가까워지다,동,,B
가까이,부,,B
가까이,명,,B
가깝다,형,,A
가꾸다,동,,B
가끔,부,,A
가난,명,,C
가난하다,형,,B
가늘다,형,,B
가능,명,可能,C
가능성,명,可能性,B
가능하다,형,可能-,B
가능해지다,동,可能-,C
가다,동,,A
가다,보,,A
가득,부,~ 차다,B
가득하다,형,,B
가득히,부,,C
가라앉다,동,,C
가려지다,동,,C
가령,부,假令,C
가로,명,~와 세로,B
가로등,명,街路燈,C
가로막다,동,,C
가로수,명,街路樹,C
가루,명,분필 ~,B
가르다,동,,C
가르치다,동,,A
가르침,명,,C
가리다,동,시야를 ~,B
가리다,동,시비를 ~,B
가리키다,동,,B
가만,부,,C
가만있다,동,,C
가만히,부,,B
가뭄,명,,C
가방,명,~을 메다,A
가볍다,형,,A
가사,명,歌詞,C
가상,명,假想,C
가수,명,歌手,A
가스,명,gas,B
가슴,명,,A
가슴속,명,,B
가요,명,歌謠,B
가운데,명,,A
가위,명,기구,B
가을,명,,A
가이드,명,guide,B
가입,명,加入,C
가입자,명,加入者,C
가입하다,동,加入-,C
가장,부,,A
가장,명,家長,C
가정,명,家庭,B
가정,명,假定,C
가정교사,명,家庭敎師,C
가져가다,동,,B
가져다주다,동,,B
가져오다,동,,A
가족,명,家族,A
가죽,명,,B
가지,명,~를 치다,B
가지,의,한 ~,B
가지다,동,,A
가지다,보,,A
가짜,명,假-,B
가치,명,價値,C
가치관,명,價値觀,C
가톨릭,명,Catholic,C
가하다,동,加-,C
각,관,各,B
각각,부,各各,B
각각,명,各各,B
각국,명,各國,B
각기,부,各其,C
각오,명,覺悟,C
각자,명,各自,B
각자,부,各自,B
각종,명,各種,B
간,명,음식의 ~을 보다,C
간,명,肝,C
간,의,間. 서울과 부산 ~,B
간격,명,間隔,C
간단하다,형,簡單-,B
간단히,부,簡單-,B
간부,명,幹部,C
간섭,명,干涉,C
간식,명,間食,B
간신히,부,艱辛-,C
간장,명,-醬,B
간접,명,間接,C
간접적,명,間接的,C
간판,명,看板,C
간편하다,형,簡便-,C
간호,명,看護,C
간호사,명,看護師,A
간혹,부,間或,C
갇히다,동,,C
갈다,동,바꾸다,B
갈다,동,문지르다,B
갈등,명,葛藤,C
갈비,명,,A
갈비탕,명,-湯,B
갈색,명,褐色,B
갈수록,부,,C
갈아입다,동,,B
갈아타다,동,,B
갈증,명,渴症,C
감,명,과일,B
감,명,感,C
감각,명,感覺,C
감기,명,感氣,A
감다,동,눈을 ~,B
감다,동,실을 ~,C
감독,명,監督,C
감동,명,感動,B
감동적,명,感動的,C
감사,명,感謝,A
감사하다,형,感謝-,A
감사하다,동,感謝-,A
감상,명,鑑賞,B
감상하다,동,鑑賞-,B
감소,명,減少,C
감소되다,동,減少-,C
감소하다,동,減少-,C
감수성,명,感受性,C
감싸다,동,,C
감옥,명,監獄,C
감자,명,,B
감정,명,感情,B
감정적,명,感情的,C
감추다,동,,C
감히,부,敢-,C
갑,명,匣,C
갑자기,부,,A
갑작스럽다,형,,C
값,명,,A
값싸다,형,,C
강,명,江,A
강남,명,江南,C
강당,명,講堂,B
강도,명,强度,C
강도,명,强盜,B
강력하다,형,强力-,C
강력히,부,强力-,C
강렬하다,형,强烈-,C
강물,명,江-,B
강변,명,江邊,C
강북,명,江北,C
강사,명,講師,C
강수량,명,降水量,C
강아지,명,,B
강요하다,동,强要-,C
강원도,고,江原道,B
강의,명,講義,C
강의하다,동,講義-,C
강제,명,强制,B
강조,명,强調,C
강조하다,동,强調-,B
강하다,형,强-,B
강화하다,동,强化-,C
갖가지,명,,C
갖다,동,가지다,B
갖다,보,가지다,B
갖추다,동,,C
같다,형,,A
같이,부,,A
같이하다,동,,C
갚다,동,,C
개,명,동물,A
개,의,個,A
개개인,명,個個人,C
개구리,명,,B
개국,의,個國,C
개나리,명,,B
개다,동,날이 ~,C
개미,명,곤충,C
개발되다,동,開發-,C
개발하다,동,開發-,B
개방,명,開放,C
개방되다,동,開放-,C
개방하다,동,開放-,C
개별,명,個別,C
개선,명,改善,C
개선되다,동,改善-,C
개선하다,동,改善-,C
개성,명,個性,C
개월,의,個月,A
개인,명,個人,B
개인적,명,個人的,B
객관적,명,客觀的,C
걔,불,그 아이,B
거,대,것,A
거,의,것,A
거기,대,,A
거꾸로,부,,C
거대하다,형,巨大-,C
거두다,동,,C
거들다,동,,C
거듭,부,,C
거리,명,길~,A
거리,의,반찬~,B
거리,명,距離,C
거부하다,동,拒否-,C
거실,명,居室,B
거액,명,巨額,C
거울,명,,A
거의,부,,B
거절하다,동,拒絶-,C
거짓,명,,B
거짓말,명,,B
거치다,동,,C
거칠다,형,,C
거품,명,,C
걱정,명,,A
걱정되다,동,,B
걱정스럽다,형,,B
걱정하다,동,,A
건,의,件,C
건강,명,健康,A
건강하다,형,健康-,A
건너,명,,C
건너가다,동,,B
건너다,동,,B
건너오다,동,,B
건너편,명,-便,B
건넌방,명,-房,C
건네다,동,,C
건네주다,동,,C
건드리다,동,,C
건물,명,建物,A
건설,명,建設,C
건설되다,동,建設-,C
건설하다,동,建設-,C
건전하다,형,健全-,C
건조,명,乾燥,C
건조하다,형,乾燥-,C
건지다,동,,B
건축,명,建築,B
걷기,명,,C
걷다,동,느릿느릿 ~,A
걷다,동,소매를 ~,C
걷다,동,빨래를 ~,C
걸다,동,옷을 ~,A
걸리다,동,'걸다'의 피동사,B
걸어가다,동,,A
걸어오다,동,집까지 ~,A
걸음,명,,B
걸치다,동,,C
검다,형,색깔이 ~,B
검사,명,檢事,C
검사,명,檢査,B
검은색,명,-色,A
검정색,명,-色,B
검토,명,檢討,C
겁,명,怯,B
겁나다,동,怯-,C
것,의,,A
겉,명,,B
게,명,동물,C
게다가,부,,B
게시판,명,揭示板,C
게으르다,형,,C
게임,명,game,A
겨우,부,,B
겨울,명,,A
겨울철,명,,B
겨자,명,,C
겪다,동,,C
견디다,동,,B
견해,명,見解,C
결과,명,結果,B
결과적,명,結果的,C
결국,명,結局,B
결론,명,結論,C
결석,명,缺席,C
결석하다,동,缺席-,C
결승,명,決勝,C
결심,명,決心,C
결심하다,동,決心-,B
결정,명,決定,B
결정되다,동,決定-,B
결정하다,동,決定-,B
결코,부,決-,C
결혼,명,結婚,A
결혼식,명,結婚式,A
결혼하다,동,結婚-,A
